동물명(추정),파일명,사용 상태,ARP 여부,리그 타입,ARP 마커,ARP 마커 수,동명 파일 수,폴더,경로,수정일,파일 크기
adelie,adelie_AllAni_241121_ex.blend,사용중,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l, c_arm_fk.l, c_forearm_fk.l, c_hand_fk.l",13,1,2024,Asset/BlenderFile/2024/2024_Winter/동물/3097_아델리 펭귄/adelie_AllAni_241121_ex.blend,2024-11-21,8.6 MB
axolotl,Axolotl_AllAni_260306.blend,사용중,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l, c_arm_fk.l",10,2,2024,Asset/BlenderFile/2024/2024_Cherry Blossom/Axolotl/Axolotl_AllAni_260306.blend,2026-03-06,6.9 MB
baby_bear,Baby_Bear_animation.blend,사용중,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l",10,4,2024,Asset/BlenderFile/2024/2024_Christmas/동물/아기 북극곰/Baby_Bear_animation.blend,2024-12-06,38.6 MB
baby_polar,Baby_polar_animation_01.blend,사용중,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l",10,1,2024,Asset/BlenderFile/2024/2024_Christmas/동물/아기 북극곰/Baby_polar_animation_01.blend,2024-12-10,39.7 MB
blu_eye_crane,blu_eye_Crane_08(정리).blend,사용중,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l, c_arm_fk.l, c_forearm_fk.l, c_hand_fk.l",13,1,2024,Asset/BlenderFile/2024/2024_Winter/동물/3095_푸른 눈 가마우지/blu_eye_Crane_08(정리).blend,2024-11-22,11.6 MB
blue_eyed_shag,blue eyed shag_AllAni_241122_ex.blend,사용중,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l, c_arm_fk.l, c_forearm_fk.l, c_hand_fk.l",13,1,2024,Asset/BlenderFile/2024/2024_Winter/동물/3095_푸른 눈 가마우지/blue eyed shag_AllAni_241122_ex.blend,2024-11-25,12.2 MB
box,Box_02.blend,사용중,O,ARP,"c_pos, c_traj, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_arm_fk.l",6,3,2024,Asset/BlenderFile/2024/2024_Christmas/UI/크리스 마스 UI/Box_02.blend,2024-12-09,2.2 MB
cockatoo,cockatoo_new_animation_0213(수정).blend,사용중,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l, c_arm_fk.l, c_forearm_fk.l, c_hand_fk.l",13,2,2024,Asset/BlenderFile/2024/2024_autumn/3086_도가머리 딱따구리/BackUp/cockatoo_new_animation_0213(수정).blend,2024-07-30,6.7 MB
frog_christmas,frog_christmas_02.blend,사용중,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l, c_arm_fk.l, c_forearm_fk.l, c_hand_fk.l",13,3,2024,Asset/BlenderFile/2024/2024_Christmas/동물/산타 개구리/frog_christmas_02.blend,2024-12-05,6.4 MB
guineapig,Guineapig_0911_01.blend,사용중,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l",10,3,2024,Asset/BlenderFile/2024/2024_3rd anniv-halloween/3주년/3089_기니피그/Guineapig_0911_01.blend,2024-09-23,8.3 MB
hawaiian_package01,Hawaiian_package01.blend,사용중,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l, c_arm_fk.l, c_forearm_fk.l, c_hand_fk.l",13,1,2024,Asset/BlenderFile/2024/2024_Summer/package/3d 리소스/Hawaiian_package01.blend,2024-05-02,12.4 MB
penguin_baby,Penguin_Baby_1120_02.blend,사용중,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l, c_arm_fk.l, c_forearm_fk.l, c_hand_fk.l",13,6,2024,Asset/BlenderFile/2024/2024_Winter/동물/3061_아기펭귄(추가 애니메이션)/Penguin_Baby_1120_02.blend,2024-11-21,8.1 MB
pileated_woodpecker,pileated woodpecker_AllAni_240814.blend,사용중,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l, c_arm_fk.l, c_forearm_fk.l, c_hand_fk.l",13,3,2024,Asset/BlenderFile/2024/2024_autumn/3086_도가머리 딱따구리/pileated woodpecker_AllAni_240814.blend,2024-08-20,13.0 MB
sea_otter,Sea_Otter_21(idle_D).blend,사용중,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l, c_arm_fk.l, c_forearm_fk.l, c_hand_fk.l",13,1,2024,Asset/BlenderFile/2024/2024_Summer/animal/sea otter/Sea_Otter_21(idle_D).blend,2024-06-04,9.9 MB
squirrel_gray,3085_Squirrel_gray_Animation(ex_1208).blend,사용중,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l, c_arm_fk.l, c_forearm_fk.l, c_hand_fk.l",13,1,2024,Asset/BlenderFile/2024/2024_autumn/3085_회색 청설모/3085_Squirrel_gray_Animation(ex_1208).blend,2024-08-07,14.9 MB
squirrel_valentine,Squirrel_valentine.blend,사용중,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l, c_arm_fk.l, c_forearm_fk.l, c_hand_fk.l",13,1,2024,Asset/BlenderFile/2024/2024_Valentine/다람쥐/Squirrel_valentine.blend,2025-01-07,9.4 MB
아델리펭귄,아델리펭귄_07(ani).blend,사용중,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l, c_arm_fk.l, c_forearm_fk.l, c_hand_fk.l",13,1,2024,Asset/BlenderFile/2024/2024_Winter/동물/3097_아델리 펭귄/아델리펭귄_07(ani).blend,2024-11-20,8.8 MB
baby_wolf,Baby_Wolf_AllAni_250414.blend,사용중,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l",10,10,2025,Asset/BlenderFile/2025/2025_Event Pass/2025_Baby_Red_Wolf/아기 붉은 늑대/Baby_Wolf_AllAni_250414.blend,2025-04-14,7.6 MB
blue_snake,blue_snake_ani_04.blend,사용중,O,ARP,"c_pos, c_traj, c_thigh_fk.l, c_leg_fk.l, c_arm_fk.l",5,1,2025,Asset/BlenderFile/2025/2025_blue snake/blue_snake_ani_04.blend,2025-01-16,4.5 MB
chimpanzee,chimpanzee_AllAni_250529_02.blend,사용중,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l, c_arm_fk.l, c_forearm_fk.l, c_hand_fk.l",13,1,2025,Asset/BlenderFile/2025/2025_Event Pass/2025_침팬지 패스/동물/3118_침팬지/chimpanzee_AllAni_250529_02.blend,2025-05-30,8.5 MB
chimpanzee_목걸이,chimpanzee_목걸이.blend,사용중,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l, c_arm_fk.l, c_forearm_fk.l, c_hand_fk.l",13,1,2025,Asset/BlenderFile/2025/2025_Event Pass/2025_침팬지 패스/목걸이/chimpanzee_목걸이.blend,2025-06-10,9.1 MB
dodo,Dodo_AllAni_250915.blend,사용중,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l, c_arm_fk.l, c_forearm_fk.l, c_hand_fk.l",13,1,2025,Asset/BlenderFile/2025/새로운 섬/도도새/Dodo_AllAni_250915.blend,2025-09-15,8.6 MB
flamingo_white,flamingo_white.blend,사용중,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l, c_arm_fk.l, c_forearm_fk.l, c_hand_fk.l",13,1,2025,Asset/BlenderFile/2025/2025_Cherry Blossom/동물/3108_하얀 플라밍고/flamingo_white.blend,2025-02-19,10.7 MB
laika,Laika_AllAni_250616.blend,사용중,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l",10,1,2025,Asset/BlenderFile/2025/2025_Event Pass/2025_점박이 강아지/동물/3120_점박이 강아지_라이카/Laika_AllAni_250616.blend,2025-06-16,15.3 MB
lemming,Lemming_AllAni_251107.blend,사용중,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l",10,1,2025,Asset/BlenderFile/2025/2025_Event Pass/레밍/Lemming_AllAni_251107.blend,2025-11-07,7.2 MB
pika,Pika_AllAni_250819.blend,사용중,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l",10,1,2025,Asset/BlenderFile/2025/2025_Event Pass/2025_9월 이벤트 패스/동물/우는토끼/Pika_AllAni_250819.blend,2025-08-22,8.4 MB
retriever,Retriever_AllAni_250523.blend,사용중,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l",10,1,2025,Asset/BlenderFile/2025/2025_Summer/동물/3116_골든 리트리버/Retriever_AllAni_250523.blend,2025-05-23,17.5 MB
tortoise,Tortoise_AllAni_250423.blend,사용중,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l, c_arm_fk.l",11,2,2025,Asset/BlenderFile/2025/2025_Summer/동물/3117_마지나타 육지 거북/Tortoise_AllAni_250423.blend,2025-05-15,9.7 MB
ui_portrait_baby_turtle,UI_Portrait_Baby_Turtle.blend,사용중,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_arm_fk.l",10,1,2025,Asset/BlenderFile/2025/2025_Event Pass/2025_8월 이벤트 패스/동물/매부리 아기 바다거북/포트레이트/UI_Portrait_Baby_Turtle.blend,2025-07-09,3.9 MB
ui_portrait_baby_wolf,UI_Portrait_baby_wolf.blend,사용중,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l",9,1,2025,Asset/BlenderFile/2025/2025_Event Pass/2025_Baby_Red_Wolf/아기 붉은 늑대/포트레이트/UI_Portrait_baby_wolf.blend,2025-04-14,6.1 MB
ui_portrait_chimpanzee,UI_Portrait_chimpanzee.blend,사용중,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l, c_arm_fk.l, c_forearm_fk.l, c_hand_fk.l",13,1,2025,Asset/BlenderFile/2025/2025_Event Pass/2025_침팬지 패스/동물/3118_침팬지/포트레이트/UI_Portrait_chimpanzee.blend,2025-05-29,8.5 MB
ui_portrait_dodo,UI_Portrait_Dodo.blend,사용중,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l, c_arm_fk.l, c_forearm_fk.l, c_hand_fk.l",13,1,2025,Asset/BlenderFile/2025/새로운 섬/도도새/포트레이트/UI_Portrait_Dodo.blend,2025-09-15,7.6 MB
ui_portrait_laika,UI_Portrait_Laika.blend,사용중,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l",10,1,2025,Asset/BlenderFile/2025/2025_Event Pass/2025_점박이 강아지/동물/3120_점박이 강아지_라이카/포트레이트/UI_Portrait_Laika.blend,2025-06-19,8.5 MB
ui_portrait_lemming,UI_Portrait_Lemming.blend,사용중,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l",10,1,2025,Asset/BlenderFile/2025/2025_Event Pass/레밍/포트레이트/UI_Portrait_Lemming.blend,2025-11-07,7.5 MB
ui_portrait_pika,UI_Portrait_Pika.blend,사용중,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l",10,1,2025,Asset/BlenderFile/2025/2025_Event Pass/2025_9월 이벤트 패스/동물/우는토끼/포트레이트/UI_Portrait_Pika.blend,2025-08-19,6.8 MB
ui_portrait_rabbit,UI_Portrait_Rabbit Statue.blend,사용중,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l, c_arm_fk.l, c_forearm_fk.l, c_hand_fk.l",13,1,2025,Asset/BlenderFile/2025/2025_Event Pass/2025_침팬지 패스/장식 포트레이트/UI_Portrait_Rabbit Statue.blend,2025-06-11,6.2 MB
ui_portrait_retriever,UI_Portrait__Retriever.blend,사용중,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l",10,1,2025,Asset/BlenderFile/2025/2025_Summer/동물/3116_골든 리트리버/포트레이트/UI_Portrait__Retriever.blend,2025-04-30,17.0 MB
ui_portrait_sea_stone,UI_Portrait_Sea Stone.blend,사용중,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l, c_arm_fk.l, c_forearm_fk.l, c_hand_fk.l",13,1,2025,Asset/BlenderFile/2025/2025_Event Pass/2025_침팬지 패스/해변가 돌/포트레이트/UI_Portrait_Sea Stone.blend,2025-06-11,6.1 MB
ui_portrait_tortoise,UI_Portrait__Tortoise.blend,사용중,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l, c_arm_fk.l",11,1,2025,Asset/BlenderFile/2025/2025_Summer/동물/3117_마지나타 육지 거북/포트레이트/UI_Portrait__Tortoise.blend,2025-04-30,10.6 MB
ui_portrait_turtle,UI_Portrait_Turtle.blend,사용중,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_arm_fk.l",10,1,2025,Asset/BlenderFile/2025/2025_Event Pass/2025_8월 이벤트 패스/동물/매부리 바다거북/포트레이트/UI_Portrait_Turtle.blend,2025-07-08,5.6 MB
바다쓰레기ani02,바다쓰레기Ani02.blend,사용중,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_thigh_fk.l, c_leg_fk.l, c_arm_fk.l",7,1,2025,Asset/BlenderFile/2025/2025_Event Pass/2025_9월 이벤트 패스/바다 쓰레기/바다쓰레기Ani02.blend,2025-08-20,2.2 MB
boar,Boar_AllAni_260130.blend,사용중,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l",10,7,2026,Asset/BlenderFile/2026/2026_Spring Pass/컨텐츠/벚꽃멧돼지/Boar_AllAni_260130.blend,2026-01-30,65.2 MB
frog,Frog_AllAni_260210.blend,사용중,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l, c_arm_fk.l, c_forearm_fk.l, c_hand_fk.l",13,5,2026,Asset/BlenderFile/2026/2026_Spring Pass/컨텐츠/분홍개구리/Frog_AllAni_260210.blend,2026-02-10,6.4 MB
horse,Horse_AllAni_260305.blend,사용중,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l",10,1,2026,Asset/BlenderFile/2026/2026_Event Pass/웹샵/컨텐츠/유니콘/Horse_AllAni_260305.blend,2026-03-05,10.7 MB
quokka,(이거 사용)Quokka_Ani_Soyeon_02.blend,사용중,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l, c_arm_fk.l, c_forearm_fk.l, c_hand_fk.l",13,1,2026,Asset/BlenderFile/2026/2026_Australia/컨텐츠/동물/쿼카/(이거 사용)Quokka_Ani_Soyeon_02.blend,2026-03-16,9.9 MB
redhorse,RedHorse_Ani_SJ_0108.blend,사용중,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l",10,1,2026,Asset/BlenderFile/2026/2026_Event Pass/01월 붉은말 패스/동물/붉은 말/RedHorse_Ani_SJ_0108.blend,2026-01-08,10.5 MB
ui_portrait_boar,UI_Portrait_boar.blend,사용중,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l",10,1,2026,Asset/BlenderFile/2026/2026_Spring Pass/컨텐츠/벚꽃멧돼지/포트레이트/UI_Portrait_boar.blend,2026-02-13,7.9 MB
ui_portrait_frog,UI_Portrait_frog.blend,사용중,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l, c_arm_fk.l, c_forearm_fk.l, c_hand_fk.l",13,1,2026,Asset/BlenderFile/2026/2026_Spring Pass/컨텐츠/분홍개구리/포트레이트/UI_Portrait_frog.blend,2026-02-13,5.2 MB
ui_portrait_hedgehog,UI_Portrait_Hedgehog.blend,사용중,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l",10,1,2026,Asset/BlenderFile/2026/2026_Event Pass/02월 발렌타인 패스/컨텐츠/초콜릿 고슴도치 4가지/포트레이트/UI_Portrait_Hedgehog.blend,2026-01-09,14.1 MB
ui_portrait_redhorse,UI_Portrait_RedHorse.blend,사용중,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l",10,1,2026,Asset/BlenderFile/2026/2026_Event Pass/01월 붉은말 패스/동물/붉은 말/포트레이트/UI_Portrait_RedHorse.blend,2025-12-05,6.1 MB
unicorn,Unicorn_03.blend,사용중,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l",10,1,2026,Asset/BlenderFile/2026/2026_Event Pass/웹샵/컨텐츠/유니콘/Unicorn_03.blend,2026-03-05,10.7 MB
wombat,Wombat_Ani_Soyeon_02.blend,사용중,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l",10,1,2026,Asset/BlenderFile/2026/2026_Australia/컨텐츠/동물/웜뱃/Wombat_Ani_Soyeon_02.blend,2026-03-16,9.6 MB
baby_tiger_ui,Baby_Tiger_UI_Pose.blend,사용중,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l",10,1,Sup_01,Asset/BlenderFile/Sup_01/08_Baby_Tiger/bACKuP/Baby_Tiger_UI_Pose.blend,2023-05-18,8.6 MB
call,call.blend,사용중,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l, c_arm_fk.l, c_forearm_fk.l, c_hand_fk.l",13,1,Sup_01,Asset/BlenderFile/Sup_01/Frog/call.blend,2023-04-11,3.3 MB
crane,Crane_animation_0513.blend,사용중,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l, c_arm_fk.l, c_forearm_fk.l, c_hand_fk.l",13,7,Sup_01,Asset/BlenderFile/Sup_01/01_Red_Crown_Crane/Crane_animation_0513.blend,2023-05-13,10.8 MB
frog2,Frog2.blend,사용중,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l, c_arm_fk.l, c_forearm_fk.l, c_hand_fk.l",13,2,Sup_01,Asset/BlenderFile/Sup_01/Frog/BackUp/Frog2.blend,2023-04-07,6.4 MB
frog3,Frog3.blend,사용중,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l, c_arm_fk.l, c_forearm_fk.l, c_hand_fk.l",13,2,Sup_01,Asset/BlenderFile/Sup_01/Frog/rigging_test/Frog3.blend,2023-04-11,4.6 MB
frog4,Frog4.blend,사용중,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l, c_arm_fk.l, c_forearm_fk.l, c_hand_fk.l",13,2,Sup_01,Asset/BlenderFile/Sup_01/Frog/BackUp/Frog4.blend,2023-04-10,2.9 MB
jump_end,jump_end.blend,사용중,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l, c_arm_fk.l, c_forearm_fk.l, c_hand_fk.l",13,1,Sup_01,Asset/BlenderFile/Sup_01/Frog/jump_end.blend,2023-04-11,4.4 MB
jump_middle,jump_middle.blend,사용중,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l, c_arm_fk.l, c_forearm_fk.l, c_hand_fk.l",13,1,Sup_01,Asset/BlenderFile/Sup_01/Frog/jump_middle.blend,2023-04-11,4.4 MB
jump_start,jump_start.blend,사용중,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l, c_arm_fk.l, c_forearm_fk.l, c_hand_fk.l",13,1,Sup_01,Asset/BlenderFile/Sup_01/Frog/jump_start.blend,2023-04-11,4.4 MB
swim_idle,swim_idle.blend,사용중,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l, c_arm_fk.l, c_forearm_fk.l, c_hand_fk.l",13,1,Sup_01,Asset/BlenderFile/Sup_01/Frog/swim_idle.blend,2023-04-11,4.4 MB
penguin,Penguin_ex_1208.blend,사용중,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l, c_arm_fk.l, c_forearm_fk.l, c_hand_fk.l",13,2,Sup_02,Asset/BlenderFile/Sup_02/Penguin/Penguin_ex_1208.blend,2023-12-08,8.0 MB
penguin25,Penguin25(idle_F_02).blend,사용중,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l, c_arm_fk.l, c_forearm_fk.l, c_hand_fk.l",13,1,Sup_02,Asset/BlenderFile/Sup_02/Penguin/Penguin25(idle_F_02).blend,2023-12-07,7.9 MB
penguin_baby06,Penguin_Baby06(idle_F).blend,사용중,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l, c_arm_fk.l, c_forearm_fk.l, c_hand_fk.l",13,1,Sup_02,Asset/BlenderFile/Sup_02/Penguin_baby/Penguin_Baby06(idle_F).blend,2023-12-07,7.7 MB
squirrel,Squirrel_Animation(ex_1208).blend,사용중,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l, c_arm_fk.l, c_forearm_fk.l, c_hand_fk.l",13,9,Sup_02,Asset/BlenderFile/Sup_02/Squirrel/Squirrel_Animation(ex_1208).blend,2024-01-29,12.6 MB
bald_eagle,Bald_Eagle_animation1.blend,사용중,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l, c_arm_fk.l, c_forearm_fk.l, c_hand_fk.l",13,7,bird,Asset/BlenderFile/bird/eagle/Bald_Eagle_animation1.blend,2024-03-14,15.6 MB
bat,Bat_animation.blend,사용중,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l, c_arm_fk.l, c_forearm_fk.l, c_hand_fk.l",13,3,bird,Asset/BlenderFile/bird/bat/Bat_animation.blend,2022-10-25,5.5 MB
eagle,Eagle_AllAni_240731blend.blend,사용중,O,ARP,"c_pos, c_traj, c_root_master, c_root.x, c_spine_01.x, c_spine_02.x, c_neck.x, c_thigh_fk.l, c_leg_fk.l, c_foot_fk.l, c_arm_fk.l, c_forearm_fk.l, c_hand_fk.l",13,5,bird,Asset/BlenderFile/bird/eagle/Eagle_AllAni_240731blend.blend,2024-07-31,15.7 MB
