id,animation_fbx_path,animation_fbx_guid,model_fbx_paths,controller_paths,prefab_count,clip_count,clip_names,locomotion,scope,source_blend_hint,status,notes
BlackCat,Assets/5_Models/02. Animals/17. Other_3000_3999/15_Cat/BlackCat_animation.fbx,5a1fef52332e4c4458ad0d8d39f3d711,Animal_3072.fbx;Animal_3148.fbx;Animal_3149.fbx;Animal_3150.fbx;Animal_3151.fbx;Animal_3152.fbx;Animal_3153.fbx;Animal_3154.fbx;Animal_3155.fbx;Animal_3156.fbx;Animal_3157.fbx;Animal_3158.fbx;Animal_3159.fbx;WhiteCat_animation.fbx,Assets/6_Animations/Animals/Controllers/Seasonal/AnimalController_3028_BlackCat.controller,2,12,idleA;run;sitA;sitB;sitC;sleep;walk;walkfast;hunt_in;hunt_ready;hunt_jump;hunt,quadruped,in_scope,,not_started,
HalloweenPass,Assets/5_Models/02. Animals/17. Other_3000_3999/15_Cat/UI/HalloweenPassAnimation.fbx,6d7cc0661e86fed418656f97c8d58e5a,Cat_Black_UI.fbx;Cat_Black_UI2.fbx;Cat_CherryBlossom_UI_Pose.fbx;Cat_UI_Image.fbx;Cat_White_pose.fbx,Assets/6_Animations/Animals/Controllers/PackageObject/HalloweenPassAnimation.controller,0,8,Armature|Camera.001Action;pumpkin_A;pumpkin_B;pumpkin_C;pumpkin_sitA;pumpkin_sitB;pumpkin_sitC;Cat_Black|Camera.001Action,other,out_of_scope,,not_started,
WhiteCat,Assets/5_Models/02. Animals/17. Other_3000_3999/15_Cat/WhiteCat_animation.fbx,734fea677c636b2448a66ee4cf1e28aa,Animal_3072.fbx;Animal_3148.fbx;Animal_3149.fbx;Animal_3150.fbx;Animal_3151.fbx;Animal_3152.fbx;Animal_3153.fbx;Animal_3154.fbx;Animal_3155.fbx;Animal_3156.fbx;Animal_3157.fbx;Animal_3158.fbx;Animal_3159.fbx;BlackCat_animation.fbx,Assets/6_Animations/Animals/Controllers/Seasonal/AnimalController_3029_WhiteCat.controller,2,13,idleA;run;sitA;sitB;sitC;sleep;walk;walkfast;shop;hunt_in;hunt_jump;hunt_jump;hunt_ready,quadruped,in_scope,,not_started,
Frog,Assets/5_Models/02. Animals/17. Other_3000_3999/18_Frog/frog_animation.fbx,15d1dd05560c11d439f09d2ad8495016,alarm.fbx;alarm_in.fbx;alarm_out.fbx;call.fbx;idle.fbx;jump_end.fbx;jump_middle.fbx;jump_start.fbx;redfrog_animation.fbx;swim_idle.fbx,,8,0,,amphibian,out_of_scope,,not_started,
RedFrog,Assets/5_Models/02. Animals/17. Other_3000_3999/18_Frog/redfrog_animation.fbx,eaa5adad2802c4d4ab066a228217856d,alarm.fbx;alarm_in.fbx;alarm_out.fbx;call.fbx;frog_animation.fbx;idle.fbx;jump_end.fbx;jump_middle.fbx;jump_start.fbx;swim_idle.fbx,,0,0,,amphibian,out_of_scope,,not_started,
BabyFox,Assets/5_Models/02. Animals/17. Other_3000_3999/1_BabyFox/babyfox_animation.fbx,c0cd3b35f61036d499058a8d52547566,,Assets/6_Animations/Animals/Controllers/LandMarkAnimal/LandMark_11_4/BabyEagleController.controller;Assets/6_Animations/Animals/Controllers/PackageObject/BabyFoxController.controller;Assets/6_Animations/Animals/Controllers/PackageObject/BabyWolfAIController.controller;Assets/6_Animations/Animals/Controllers/Winter/SquirrelController.controller,2,13,sleep;root|mp_sleep (2);idle (1);root|mp_sleep (1);jump;idle;run;trot;walk;run_jump_down;run_jump_up;sit;jump_back,quadruped,in_scope,,not_started,
BabyDuck,Assets/5_Models/02. Animals/17. Other_3000_3999/2_Baby_Duck/duckling_animation.fbx,1e0cc17697ada38458336f961884af25,,Assets/6_Animations/Animals/Controllers/Event/AnimalController_3107_EggDuckling.controller;Assets/6_Animations/Animals/Controllers/LandMarkAnimal/LandMark_11_4/BabyEagleController.controller;Assets/6_Animations/Animals/Controllers/PackageObject/BabyAsiaticBearController.controller;Assets/6_Animations/Animals/Controllers/PackageObject/BabyBearController.controller;Assets/6_Animations/Animals/Controllers/PackageObject/BabyDearController.controller;Assets/6_Animations/Animals/Controllers/PackageObject/BabyFoxController.controller;Assets/6_Animations/Animals/Controllers/PackageObject/BabyRabbitAIController.controller;Assets/6_Animations/Animals/Controllers/PackageObject/BabyTurtleAIController.controller;Assets/6_Animations/Animals/Controllers/PackageObject/BabyWolfAIController.controller;Assets/6_Animations/Animals/Controllers/PackageObject/BabyWolfController.controller;Assets/6_Animations/Animals/Controllers/PackageObject/Display_EggDuckling_Controller.controller;Assets/6_Animations/Animals/Controllers/PackageObject/DucklingController.controller;Assets/6_Animations/Animals/Controllers/PackageObject/Duckling_3107_Controller.controller;Assets/6_Animations/Animals/Controllers/Winter/SquirrelController.controller,1,10,sit_idle;sit_wash;sleep;stand_idle;stand_special;swim;walk;run;swim_idle;jump,biped_bird,out_of_scope,,not_started,
BabyEagle,Assets/5_Models/02. Animals/17. Other_3000_3999/7_baby_eagle/Baby_Eagle_animation.fbx,2fee6a5f2eeb5fc49a3fea5228ac606f,,Assets/6_Animations/Animals/Controllers/LandMarkAnimal/LandMark_11_4/BabyEagleController.controller,1,4,flapping;idle_1;idle_2;sleep,biped_bird,out_of_scope,,not_started,
Mole,Assets/5_Models/02. Animals/17. Other_3000_3999/Animal_3015_mole/Mole_animation.fbx,f13f78e2ba73c66479a39b07d4930508,Mole_Prop.fbx,Assets/6_Animations/Animals/Controllers/PackageObject/MoleController.controller,1,9,burrow;digup;idle;idle_B;root|mp_lookaround;zemgift;digup;idle_A;lookaround,quadruped,in_scope,,not_started,
EarlessSeal,Assets/5_Models/02. Animals/17. Other_3000_3999/Animal_EarlessSeal/seal_animation.fbx,6852fc737de756e4f8013ac66c29acf7,Animal_2005.fbx;Animal_2006.fbx,Assets/6_Animations/Animals/Controllers/PackageObject/EarlessSealController.controller;Assets/6_Animations/Animals/Controllers/Winter/Harp_SealController.controller;Assets/6_Animations/Animals/Controllers/Winter/WhiteEagleOwl_Controller.controller,2,20,idle;floating;roll;sleep;sleepside;swim;walk;Armature|floating;Armature|idle;Armature|roll;Armature|run;Armature|sleep;Armature|sleepside;Armature|swim;Armature|walk;run_backup;Armature|run_backup;run;clapping;lookaround,aquatic,out_of_scope,,not_started,
